origin,translation
bottega di bombaser con mezado,silk workshop with mezzanine
Casello di legno,wooden toll booth
"casa domenical serve per uso a parocchiani di detta Contrada, habitata ora da Gerolamo Concina","the sunday house is for use by parishioners of the said district, now inhabited by gerolamo concina"
Magazen da Bombaser,warehouse of bombaser
Casa fabricata da nuovo,house built anew
due botteghe con osteria,two shops with tavern
Casa e Bottegha d'oglio,house and oil shop
Bottegha da callegher,cobbler's shop
casa in soler con terrazza,house in soler with terrace
Casa sopra le scale in cima,house above the stairs on top
"camerino, vacuo","dressing room, empty"
Casa a pepiano data per carità,house in pepiano given for charity
Casa di residenza del secondo prete in due soleri,residential house of the second priest in two solariums
Bottega da Zavatter,cobbler's shop
fittanza,lease
casa in soler vuota,empty house in soler
Palazzo di sopra per uso,upper floor for use
casetta in due piani,two-story cottage
casa con due botteghe una da tabacco l'altra da barbier,house with two shops one a tobacco the other a barber
Bottega metà,half shop
porzione di bottega,portion of shop
Casa e bottega di scaleter e inviamento,house and shop of a ladder maker and shipping
Casa domenicale con orto e giardino per proprio uso,sunday house with orchard and garden for personal use
LIbertà numero 1,freedom number 1
Casa n.8,house no.8
Casa in soler et botega,house on land and shop
casa quasi rovinosa,almost ruinous house
La Campana osteria divisa in quatro Consorti,the campana osteria divided into four consortia
Casino dove si fabbrica schiavine,workshop where shiavine are made
altra casetta aggionta allo stesso bastion,another small house added to the same bastion
botteghino,ticket office
casetta alla riva,little house by the river
"casetta, quinto soler","small house, fifth farmer"
portione bottega,shop portion
"Casa, e Bottega Linarol","house, and linarol workshop"
Casa e bottega da fruttarol,house and fruit shop
"casa in tre soleri, terzo con botteghetta di casseler","house in three suns, third with a little cashier's shop"
Casa in soler con orticello et a pepian,house with a plot of land and a small vegetable garden
casa per li mezadi,house for the half-years
Volta al canton vicin alla scalla Inaffittata,turn to the corner near the unrented staircase
Casa Granda,grand house
casa con altro luogo tenuto per ospizio,house with another place held for hospice
Bottega voda,water workshop
case tre inabitate,three uninhabited houses
Due botteghe,two shops
Altra Casetta in soler,other small house in soler
Inviamento proprio,sending own
Bottega da Fabro con casa in due solari,blacksmith's shop with house on two floors
bottega da paruchier,wig maker's shop
numero 1 Magazen d'erbarol,number 1 herb warehouse
Casa vuota per suo uso,empty house for his use
casa con pestrin,house with oil lamp
Casa in soler et Forno,house in ground and oven
scode per il trasnito del ponte,fee for the transit of the bridge
bottega due,shop two
Casa con due Botteghe e inviamento di erbariol,house with two shops and sending of herbs
Inviamento della suddetta bottegha per proprio uso,sending of the aforementioned shop for personal use
case diverse,different houses
Casa e Bottegha Marangon,marangon house and shop
Bottega Galiner,galiner workshop
casa e fabrica pietre,house and stone factory
casa con bottega d'acquavite,house with brandy shop
libertà del traghetto,ferry freedom
"casa, squero, magazeni n.2","house, shipyard, warehouses no.2"
Casa et botega,house and shop
"casa, orto e bottega da lanificio","house, garden and woolen mill shop"
magazen entro la bottega,storage inside the shop
Bottega o sia magazen inafitatto,shop or otherwise leased warehouse
carati sopra bottega,shares above shop
mezzo stabile,stable means
casa abbruciata,burnt house
Casa terza,third house
posta di Coneglian,posta of conegliano
Altra casetta,another small house
Bottegha da Fabro,blacksmith's shop
casa in solaro con bottega da favro,house on a plot with blacksmith's shop
Libertà numero 30,freedom number 30
inviamento del forno,sending of the oven
Volta numero 17,turn number 17
Casa e bottega masteller,house and masteller shop
Botteghe due,two shops
bottega da perucher,perucher's shop
squero con casa in soler,shipyard with house on piles
Casa e Bottega Biavarol,biavarol house and shop
"Casa, porzione","house, portion"
Casa Grande per uso,large house for use
Botega con Volta da Biave,shop with vaulted ceiling
Casa quarta,fourth house
Casa dominicale in soler per proprio uso,domestic house on lease for personal use
bottega inafittata,unleased shop
"Bottega, e Camerino","workshop, and small room"
posta da castrà,mail from castrà
Appartamento di Mezzadi,halfway apartment
Altra Casa in soler,other house in soler
Bottega con inviamento da oglio,shop with oil dispatch
Statio di Battello,boat station
parte di casa,part of house
porzione della detta bottega,portion of the said shop
Botega da mandoler,almond shop
bottega d'acquavita,liquor shop
Casa e bottega da orese,house and goldsmith's shop
casa e due botteghette,house and two small shops
casa e bottega da marzer,house and shop from marzer
"Casa in soler in due affittanze, altra affittanza","house on ground in two leases, another lease"
due luochi sopra la casa,two places above the house
casa e botteghe,house and shops
Inviamento frutarol,sending fruit-grower
casa e bottega di fruttariol con magazen,house and greengrocer's shop with warehouse
Libertà numero 42,freedom number 42
casa con bottega da medicinali,house with medicinal shop
"casa, sopra la scala","house, above the stairs"
porzione di casa e bottega di malvasia,portion of house and malvasia shop
Casa e Bottega da Strazzarol,house and workshop of strazzarol
Casa con botega da favro,house with blacksmith's shop
casa e bottega d'acqua vita,house and water life shop
Casa e bottegha da frutarol,house and fruit seller's shop
Stazio di Erbarol,station of herb sellers
2 case vuote,2 empty houses
bottega da orefice,goldsmith's shop
Casa grande vuota,big empty house
bottega di pettener,comb shop
Casotto d'erbarol,herbalist's hut
volta e bottega,vault and shop
bottega di relogier,watchmaker's shop
posto da castrà e castrodina a perini,place from castrà and castrodina to perini
Casa pepian et in soler in 4 fitanze,pepian house and in the attic in 4 rents
Bottega da Lotto,lotto's workshop
Casa con camere numero 6,house with 6 rooms
Libertà numero 6,freedom number 6
Casa e bottega di pistor,house and baker's shop
casa sive soffitta,house or attic
Casa ruvioosa sino a terra inabitata,ruined house uninhabited to the ground
Botega d'Orefice,goldsmith's shop
Invaimento erbariol,herbal invoicing
Secondo Apartamento,second apartment
Bottega da bottiro,barrel maker's shop
scrittoria,writing desk
Bottega da mandoler,almond shop
Bottega da Specier da Medicine all'insegna della Novizza,spice and medicine shop signposted novice
Libertà numero 39,freedom number 39
bottega da acqua vite e casa in soler,distillery shop and house in attic
Libertà,freedom
casa e due casette,house and two small houses
casa e bottega di calzetta,house and sock shop
"Casa in più porzioni, altra porzione","house in several portions, another portion"
"casa, pirmo soler","house, first floor"
camere n. 3,rooms no. 3
Statio da furtariol,theft station
Appartamento di casa,house apartment
bottega da botter,boat builder's workshop
bottega stramazer,stramazer shop
"Casa in molte affittanza, seu porzioni, prima porzione","house in many rentals, or portions, first portion"
Casa in soler con bottega,house with shop on the ground floor
2 case inafittate,2 leased houses
Bottega di barbier con casa,barber shop with house
Quattro casette a pepian,four little houses in pepian
bottega di calzetta,hosiery shop
Numero 7 Volta,number 7 turn
bottega da sartor con casa,tailor's shop with house
Casa con ceraria,house with wax workshop
quarto soler,fourth ground
bottega da fabro e porzione di bottega da calderer,blacksmith's shop and portion of a coppersmith's shop
Casa in tre solari con due Magazini,house in three suns with two warehouses
bottega con tre volte,shop with three arches
Casa in 2 affittanze,house in 2 rents
Bottega da Calzzetta,calzzetta's workshop
Casa e Terren da Legname,house and timber land
Casa e Bottega Calderer,calderer house and workshop
Case due,two houses
casa a pepian e magazen,pepian house and warehouse
Casa con terreno di remer,house with remer's land
due porzioni della detta casa,two portions of the said house
Inviamento da furtarol,sending from furtarol
Altra porcione d'inviamento,another portion of land transfer
volte n. 5,times no. 5
casa con bottega da luganegher e inviamento,house with sausage maker's shop and sending
Camera con magazen,room with warehouse
"Casa, metà","house, half"
Magazen da furttarol,warehouse for storage
Mezzadi di detta Casa,halves of said house
casa con magazen in faccia,house with store in front
altro magazen da oglio,another oil warehouse
casa e bottega da confetti,house and candy shop
Botteghe due In una da Salumier e Buttiro,two shops in one for a deli and a butter seller
Inviamento dell'oltrescritto luganegher,sending of the aforementioned leaseholder
Posta da Porto Gruer,mail from porto gruer
Bottegha da Calegher,cobbler's shop
Bottega Consorti,consorti workshop
Casa e Bottega di luganegher,house and butcher's shop
Botegha posta da oglio,shop located by the oil
Magazen da Merci,warehouse of goods
bastion di san moisè,bastion of san moses
stazio di becharia,becharia's status
casa in 3 solari e bottega da barbier,house in 3 sunlights and barber shop
Casa e bottegha da luganegher,house and butcher's shop for rent
Altro magazen da fasci,another bundle warehouse
"botteghe due, una di orefice","two shops, one of a goldsmith"
terza scala,third ladder
Casa e Bottegha da Biavarol,house and workshop of biavarol
"Casa in soler in due apartamenti, secondo","house in soler in two apartments, according to"
Terren rovinoso vuoto,waste rocky land
"casa in tre soler, terzo","house in three floors, third"
Bottega con camerin,shop with small room
bottega di intagliador,carver's workshop
Bottega da Calderer,calderer's workshop
altro soler della stessa casa,another plot of the same house
Libertà numero 11,freedom number 11
Portion di Bottega,portion of shop
